ticket_id,ticket_text,category
TKT-100000,Refund not received after cancellation in mobile application,Refund Request
TKT-100001,Unknown device accessed account after latest update,Fraud Alert
TKT-100002,Waiting for refund since last week during peak traffic,Refund Request
TKT-100003,KYC verification pending for many days since morning,KYC Verification
TKT-100004,Refund status not updated during checkout,Refund Request
TKT-100005,Unable to complete payment via UPI after retrying multiple times,Payment Failure
TKT-100006,Identity verification rejected while using net banking,KYC Verification
TKT-100007,Subscription upgrade not reflecting after latest update,Subscription Issue
TKT-100008,KYC documents under review in mobile application,KYC Verification
TKT-100009,User account temporarily suspended on web portal,Account Locked
TKT-100010,Waiting for refund since last week for international transaction,Refund Request
TKT-100011,Refund initiated but not credited on web portal,Refund Request
TKT-100012,Subscription upgrade not reflecting while using net banking,Subscription Issue
TKT-100013,Incorrect refund amount received for last 2 hours,Refund Request
TKT-100014,Premium features inaccessible during peak traffic,Subscription Issue
TKT-100015,Suspicious debit from unknown merchant since morning,Fraud Alert
TKT-100016,Possible phishing attempt reported for last 2 hours,Fraud Alert
TKT-100017,Suspicious debit from unknown merchant for international transaction,Fraud Alert
TKT-100018,Billing issue for subscription plan on web portal,Subscription Issue
TKT-100019,Forgot password link expired on web portal,Account Locked
TKT-100020,Possible phishing attempt reported for last 2 hours,Fraud Alert
TKT-100021,User account temporarily suspended after latest update,Account Locked
TKT-100022,Pending payment not updated in mobile application,Transaction Delay
TKT-100023,Card used without authorization since morning,Fraud Alert
TKT-100024,Unauthorized transaction detected on web portal,Fraud Alert
TKT-100025,Address proof not accepted for last 2 hours,KYC Verification
TKT-100026,Card used without authorization during checkout,Fraud Alert
TKT-100027,Pending payment not updated while using net banking,Transaction Delay
TKT-100028,Login blocked after suspicious activity after latest update,Account Locked
TKT-100029,Possible phishing attempt reported during peak traffic,Fraud Alert
TKT-100030,Unable to complete customer verification on web portal,KYC Verification
TKT-100031,Received fraud alert notification after retrying multiple times,Fraud Alert
TKT-100032,UPI transaction still processing since morning,Transaction Delay
TKT-100033,Need refund for duplicate payment after latest update,Refund Request
TKT-100034,Document upload failed during KYC for international transaction,KYC Verification
TKT-100035,Verification process stuck after retrying multiple times,KYC Verification
TKT-100036,Subscription upgrade not reflecting for last 2 hours,Subscription Issue
TKT-100037,Premium features inaccessible for last 2 hours,Subscription Issue
TKT-100038,Subscription cancelled unexpectedly after latest update,Subscription Issue
TKT-100039,Bank transfer taking too long in mobile application,Transaction Delay
TKT-100040,Account locked due to multiple failed attempts in mobile application,Account Locked
TKT-100041,Received fraud alert notification on web portal,Fraud Alert
TKT-100042,Unable to login after password reset during peak traffic,Account Locked
TKT-100043,Request failing with status code 503 since morning,API Failure
TKT-100044,Refund initiated but not credited in mobile application,Refund Request
TKT-100045,Unauthorized transaction detected during checkout,Fraud Alert
TKT-100046,Waiting for refund since last week while using net banking,Refund Request
TKT-100047,Need refund for duplicate payment after latest update,Refund Request
TKT-100048,Payment stuck in pending state in mobile application,Transaction Delay
TKT-100049,Identity verification rejected after retrying multiple times,KYC Verification
TKT-100050,Possible phishing attempt reported for international transaction,Fraud Alert
TKT-100051,Request failing with status code 503 after retrying multiple times,API Failure
TKT-100052,UPI transaction still processing during checkout,Transaction Delay
TKT-100053,Suspicious debit from unknown merchant on web portal,Fraud Alert
TKT-100054,Unable to complete payment via UPI during peak traffic,Payment Failure
TKT-100055,Unauthorized transaction detected for last 2 hours,Fraud Alert
TKT-100056,Unable to complete payment via UPI for last 2 hours,Payment Failure
TKT-100057,Payment gateway returned error for last 2 hours,Payment Failure
TKT-100058,Possible phishing attempt reported while using net banking,Fraud Alert
TKT-100059,Received fraud alert notification during peak traffic,Fraud Alert
TKT-100060,Money transfer delayed unexpectedly while using net banking,Transaction Delay
TKT-100061,Identity verification rejected for last 2 hours,KYC Verification
TKT-100062,Incorrect refund amount received on web portal,Refund Request
TKT-100063,Unable to complete customer verification while using net banking,KYC Verification
TKT-100064,Card charged twice for same purchase since morning,Payment Failure
TKT-100065,KYC documents under review for last 2 hours,KYC Verification
TKT-100066,Unknown device accessed account during checkout,Fraud Alert
TKT-100067,Payment stuck in pending state for international transaction,Transaction Delay
TKT-100068,Login blocked after suspicious activity while using net banking,Account Locked
TKT-100069,Suspicious debit from unknown merchant while using net banking,Fraud Alert
TKT-100070,Refund not received after cancellation after retrying multiple times,Refund Request
TKT-100071,Card charged twice for same purchase during checkout,Payment Failure
TKT-100072,Authentication failed repeatedly while using net banking,Account Locked
TKT-100073,Money transfer delayed unexpectedly for international transaction,Transaction Delay
TKT-100074,Transaction failed but money debited for international transaction,Payment Failure
TKT-100075,Amount debited but booking failed in mobile application,Payment Failure
TKT-100076,Transaction confirmation not received for international transaction,Transaction Delay
TKT-100077,Payment stuck in pending state during checkout,Transaction Delay
TKT-100078,Plan benefits not activated since morning,Subscription Issue
TKT-100079,Payment gateway returned error since morning,Payment Failure
TKT-100080,Online payment not processing after retrying multiple times,Payment Failure
TKT-100081,Unable to login after password reset after retrying multiple times,Account Locked
TKT-100082,Need refund for duplicate payment for last 2 hours,Refund Request
TKT-100083,Refund status not updated for international transaction,Refund Request
TKT-100084,Refund status not updated during peak traffic,Refund Request
TKT-100085,Card charged twice for same purchase for international transaction,Payment Failure
TKT-100086,Service unavailable during API request during checkout,API Failure
TKT-100087,API authentication failed in mobile application,API Failure
TKT-100088,PAN verification unsuccessful in mobile application,KYC Verification
TKT-100089,Delayed settlement for bank transfer for last 2 hours,Transaction Delay
TKT-100090,Online payment not processing during peak traffic,Payment Failure
TKT-100091,Waiting for refund since last week after retrying multiple times,Refund Request
TKT-100092,Possible phishing attempt reported after latest update,Fraud Alert
TKT-100093,Gateway timeout while calling payment API during checkout,API Failure
TKT-100094,Service unavailable during API request after latest update,API Failure
TKT-100095,Transaction confirmation not received during peak traffic,Transaction Delay
TKT-100096,Credit card payment unsuccessful for last 2 hours,Payment Failure
TKT-100097,Login blocked after suspicious activity for last 2 hours,Account Locked
TKT-100098,Need refund for duplicate payment in mobile application,Refund Request
TKT-100099,Plan benefits not activated on web portal,Subscription Issue
TKT-100100,Possible phishing attempt reported after retrying multiple times,Fraud Alert
TKT-100101,Transaction confirmation not received since morning,Transaction Delay
TKT-100102,Incorrect refund amount received in mobile application,Refund Request
TKT-100103,Payment deducted but order not confirmed on web portal,Payment Failure
TKT-100104,Login blocked after suspicious activity after latest update,Account Locked
TKT-100105,Pending payment not updated after retrying multiple times,Transaction Delay
TKT-100106,Card charged twice for same purchase for last 2 hours,Payment Failure
TKT-100107,Unable to login after password reset on web portal,Account Locked
TKT-100108,Authentication failed repeatedly after latest update,Account Locked
TKT-100109,Credit card payment unsuccessful on web portal,Payment Failure
TKT-100110,Payment gateway returned error during checkout,Payment Failure
TKT-100111,Suspicious debit from unknown merchant on web portal,Fraud Alert
TKT-100112,PAN verification unsuccessful during checkout,KYC Verification
TKT-100113,OTP verification not working for international transaction,Account Locked
TKT-100114,Transaction failed but money debited on web portal,Payment Failure
TKT-100115,Identity verification rejected in mobile application,KYC Verification
TKT-100116,Account locked due to multiple failed attempts for international transaction,Account Locked
TKT-100117,Online payment not processing during checkout,Payment Failure
TKT-100118,Unrecognized transaction in statement on web portal,Fraud Alert
TKT-100119,Plan benefits not activated during checkout,Subscription Issue
TKT-100120,Unable to complete payment via UPI for international transaction,Payment Failure
TKT-100121,Service unavailable during API request for last 2 hours,API Failure
TKT-100122,Premium features inaccessible after retrying multiple times,Subscription Issue
TKT-100123,KYC documents under review since morning,KYC Verification
TKT-100124,Cancelled order but refund pending after latest update,Refund Request
TKT-100125,Subscription upgrade not reflecting for last 2 hours,Subscription Issue
TKT-100126,KYC documents under review on web portal,KYC Verification
TKT-100127,Document upload failed during KYC for international transaction,KYC Verification
TKT-100128,Possible phishing attempt reported since morning,Fraud Alert
TKT-100129,KYC verification pending for many days after retrying multiple times,KYC Verification
TKT-100130,Card used without authorization for international transaction,Fraud Alert
TKT-100131,Refund initiated but not credited during peak traffic,Refund Request
TKT-100132,Gateway timeout while calling payment API in mobile application,API Failure
TKT-100133,Subscription cancelled unexpectedly on web portal,Subscription Issue
TKT-100134,Address proof not accepted after retrying multiple times,KYC Verification
TKT-100135,User account temporarily suspended for international transaction,Account Locked
TKT-100136,PAN verification unsuccessful during peak traffic,KYC Verification
TKT-100137,Subscription cancelled unexpectedly after retrying multiple times,Subscription Issue
TKT-100138,Credit card payment unsuccessful in mobile application,Payment Failure
TKT-100139,Fraudulent transfer detected during peak traffic,Fraud Alert
TKT-100140,Request failing with status code 503 while using net banking,API Failure
TKT-100141,Money transfer delayed unexpectedly after retrying multiple times,Transaction Delay
TKT-100142,Payment stuck in pending state for last 2 hours,Transaction Delay
TKT-100143,Premium features inaccessible for last 2 hours,Subscription Issue
TKT-100144,Possible phishing attempt reported during checkout,Fraud Alert
TKT-100145,Received fraud alert notification since morning,Fraud Alert
TKT-100146,Unable to complete payment via UPI while using net banking,Payment Failure
TKT-100147,Refund delayed for failed transaction for international transaction,Refund Request
TKT-100148,Fraudulent transfer detected while using net banking,Fraud Alert
TKT-100149,Identity verification rejected after latest update,KYC Verification
TKT-100150,Card charged twice for same purchase for international transaction,Payment Failure
TKT-100151,Received fraud alert notification after retrying multiple times,Fraud Alert
TKT-100152,Bank transfer taking too long after retrying multiple times,Transaction Delay
TKT-100153,Suspicious debit from unknown merchant while using net banking,Fraud Alert
TKT-100154,Access denied after security check after retrying multiple times,Account Locked
TKT-100155,Request failing with status code 503 during peak traffic,API Failure
TKT-100156,Verification process stuck after latest update,KYC Verification
TKT-100157,Fund transfer processing slowly in mobile application,Transaction Delay
TKT-100158,Possible phishing attempt reported after retrying multiple times,Fraud Alert
TKT-100159,Money transfer delayed unexpectedly in mobile application,Transaction Delay
TKT-100160,UPI transaction still processing in mobile application,Transaction Delay
TKT-100161,Possible phishing attempt reported on web portal,Fraud Alert
TKT-100162,Gateway timeout while calling payment API after latest update,API Failure
TKT-100163,User account temporarily suspended for international transaction,Account Locked
TKT-100164,User account temporarily suspended for last 2 hours,Account Locked
TKT-100165,Unable to complete customer verification on web portal,KYC Verification
TKT-100166,Pending payment not updated since morning,Transaction Delay
TKT-100167,Fraudulent transfer detected for international transaction,Fraud Alert
TKT-100168,Amount debited but booking failed while using net banking,Payment Failure
