incident_title,affected_users,cpu_usage,error_rate,severity
Memory usage elevated,877,52,8,Low
Disk usage warning,188,56,9,Low
Memory usage elevated,1572,55,1,Low
Intermittent connection issues,4022,60,28,Medium
CPU threshold warning,1645,56,4,Low
Login API timeout,17973,93,22,High
Routine maintenance notice,0,33,0,Informational
Memory usage elevated,709,37,9,Low
Capacity report generated,0,40,0,Informational
High error rate detected,15601,85,21,High
Regional service degradation,21442,94,49,High
Routine maintenance notice,0,19,0,Informational
Search response degraded,4960,78,9,Medium
Regional service degradation,15844,81,29,High
Backup delay detected,874,41,8,Low
Disk usage warning,624,65,8,Low
Backup delay detected,774,70,2,Low
Memory usage elevated,279,68,1,Low
Core API crash,80823,96,76,Critical
CPU threshold warning,1561,57,4,Low
Search response degraded,1828,62,7,Medium
Memory usage elevated,942,69,5,Low
Memory usage elevated,1269,57,5,Low
Cache miss increase,3387,73,5,Medium
Cache miss increase,2538,63,15,Medium
SSL expires in 10 days,0,15,0,Informational
Core API crash,35324,98,56,Critical
Disk usage warning,1114,55,7,Low
CPU threshold warning,812,51,8,Low
High error rate detected,3613,77,23,High
Memory usage elevated,923,63,1,Low
Cache miss increase,1946,69,22,Medium
Search response degraded,4119,62,12,Medium
Memory usage elevated,723,73,0,Low
Production database down,96571,90,89,Critical
CPU threshold warning,531,65,9,Low
CPU threshold warning,1433,66,4,Low
Login API timeout,5602,84,56,High
Intermittent connection issues,2422,76,12,Medium
Intermittent connection issues,2179,68,26,Medium
CPU threshold warning,1438,61,4,Low
Disk usage warning,1168,38,6,Low
Core API crash,47423,96,42,Critical
Search response degraded,3633,74,8,Medium
Payment gateway unavailable,62888,96,49,Critical
Monitoring alert review,0,31,0,Informational
Intermittent connection issues,6113,63,5,Medium
Routine maintenance notice,0,26,0,Informational
Disk usage warning,165,46,4,Low
Elevated latency observed,9409,59,19,Medium
Cache miss increase,3036,83,13,Medium
Cache miss increase,4669,63,5,Medium
SSL expires in 10 days,0,45,0,Informational
High error rate detected,17958,81,24,High
Disk usage warning,562,44,6,Low
Backup delay detected,1537,47,1,Low
Monitoring alert review,0,15,0,Informational
Payment gateway unavailable,59937,93,60,Critical
Routine maintenance notice,0,41,0,Informational
Search response degraded,9552,74,12,Medium
Cache miss increase,2931,84,28,Medium
Regional service degradation,4212,81,37,High
SSL expires in 10 days,0,45,0,Informational
Backup delay detected,1781,43,8,Low
Elevated latency observed,3501,55,24,Medium
CPU threshold warning,747,70,0,Low
CPU threshold warning,524,35,9,Low
Login API timeout,6314,76,53,High
Regional service degradation,7840,82,43,High
SSL expires in 10 days,0,13,0,Informational
Cache miss increase,7885,64,29,Medium
Elevated latency observed,1867,83,5,Medium
High error rate detected,6559,75,47,High
High error rate detected,16670,94,47,High
CPU threshold warning,399,69,8,Low
Disk usage warning,1477,68,1,Low
Regional service degradation,28044,76,35,High
Search response degraded,5141,70,21,Medium
Capacity report generated,0,17,0,Informational
Routine maintenance notice,0,6,0,Informational
Search response degraded,6522,80,7,Medium
Regional service degradation,14316,75,58,High
Disk usage warning,1866,64,8,Low
Intermittent connection issues,7955,80,5,Medium
Production database down,84649,88,83,Critical
High error rate detected,17330,91,44,High
Monitoring alert review,0,32,0,Informational
Search response degraded,4054,82,15,Medium
Backup delay detected,1734,45,4,Low
High error rate detected,9389,95,49,High
Backup delay detected,210,70,0,Low
CPU threshold warning,292,42,8,Low
